# CathayViewer 人名别名表（正名,别名…；可手动编辑，逗号/顿号/分号均可分隔）
楊允真,無識
楊允繩,忠恪,抑齋,翼少
楊元,長才
楊元亨,伯進
楊元卿,正臣
楊元吉,來貞
楊元坦,友直
楊元定,元定
楊元愷,湘石
楊元杲,文素,楊元果
楊元璫,聖偉
楊元申,貫汀
楊元祥,曰泰
楊元第,雲庵
楊元興,雲浦
楊元錫,康侯
楊元龍,楊元隆
楊兆,夢鏡
楊兆中,小川
楊兆傑,又仁
楊兆和,由菴
楊兆堭,古生
楊兆昌,春圃
楊兆李,仲燮,夢蓮
楊兆璜,古生,飱秋
楊兆運,夢齡,桃西,鐵香
楊兆鋆,誠之,須圃,須曼廬,須曼精廬
楊兆鏊,信之
楊兆隆,兆龍,剛慧,汝基
楊兆魯,青巖
楊兆麒,琢齋,錫臣
楊兆麟,次典
楊先棻,茹香
楊先澤,楊先英
楊先英,楊先澤
楊先進,用之
楊光儀,庸叟,香吟
楊光先,長公,長工
楊光楣,蓮鏡
楊光溥,文卿
楊光照,厚存,養拙
楊光美,仲和,楊美
楊光訓,汝若,華端
楊克,道孚
楊克一,道孚
楊克恭,德基
楊克昌,景周
楊克讓,慶孫
楊全,寶行
楊全蔭,芬若
楊公俊,君穎
楊公則,君冀
楊公度,元宏,玉峰
楊公弼,彪之
楊公榮,仲仁
楊公甫,宮余
楊公畿,曾魯,第起五,至甫
楊公羽,雲翁
楊公衍,維昌,繼昌
楊公遠,叔明,野趣
楊六,臨淄縣主
楊其休,振孫
楊典訓,伯康
楊再甲,首山
楊冕,松山
楊冠,尙文
楊冠卿,夢錫
楊冲,飛卿
楊凌,恭履
楊凌漢,傑人
楊凌閣,仲唐,允齋,遁庵
楊凝,三楊,懋功
楊凝式,希維居士,景度,楊虛白,楊風子,癸巳人,關西老農
楊凝淞,睿生
楊凝照,乙帆,亦凡,映藜
楊凱,江亭,賡起
楊則之,彝老
楊剛中,志行
楊劭惟,偲甫,怡園
楊勉,子學
楊勉學,仲潛,菊塢
楊勛,介子
楊勝岳,芥澍
楊勝桂,馥堂
楊勝檊,竹屏
楊勝達,暢園,陽園
楊勝雲,雨亭
楊勳,功讓
楊勳德,谷軒
楊匯,源澈
楊升雲,雲衢
楊卓,立堂,鶴然
楊博,惟約,文敏,楊愽,楊漙,虞坡,襄毅
楊卯君,雲和
楊卿雲,星衢
楊去盈,流謙
楊友勝,鹿溪
楊友直,敬齋先生
楊友聲,鶯谷
楊叔器,德周,東岡
楊叔方,學睡
楊叔濟,濟叔,第壬一,若濟
楊受百,廉丞
楊受祐,保之
楊受祜,保之,葆之
楊可大,業甫
楊可春,宜之
楊可繩,其武
楊可震,東園,東閔
楊吉,夢龍
楊吉老,克一
楊同善,克一
楊同福,師載,思贊
楊名,實卿,方洲
楊名寧,武屏,簡在
楊名揚,燕山
楊名時,凝齋,凝齋先生,文定,賓實,賡實
楊名標,實庭,輝世
楊名正,實先,梧峰
楊名穀,江亭
楊名耀,毖齋
楊名聲,江亭
楊名貴,錫三
楊名颺,崇峰,崈峰
楊向春,野壓,體仁
楊向榮,益堂
楊向芸,書田,香遠
楊君璽,廷信
楊呈秀,子實,洙源
楊呈芳,有恩
楊告,道之
楊周,道甫
楊周憲,覺山
楊命九,一松
楊和,平仲
楊咸章,晦之
楊商佐,子揚
楊啟後,昭堂
楊善,幼淸,忠敏,忠敬,思敬,敬思,興濟伯
楊善德,樹堂
楊喬年,壽之
楊嗣參,唯叔
楊嗣復,孝穆,慶門,楊三,繼之
楊嗣昌,子微,文弱
楊嗣曾,兩松
楊嗣沅,湘帆
楊嗣海,耀亭
楊嗣璟,星亭
楊嗣秉,去三
楊嘉,則剛
楊嘉棟,小雲,松崖
楊嘉瑞,興甫
楊嘉祚,寨雲
楊四畏,敬甫,知菴
楊四知,元述
楊國勛,成周,澹園,養齋
楊國寶,應之
楊國楨,海梁
楊國濟,保丞
楊國璋,璧人,達夫
楊國相,工亮
楊國聲,廣譽,西崖
楊國興,楊元
楊國頤,儀臣,怡臣
楊在韶,瑤圃
楊在餘,節愍
楊圭,國瑞
楊圻,野王,雲史
楊均,仲平
楊坦,彝思,素書
楊垂,可庵,戴春,統甫
楊垕,子載,恥夫
楊城書,香林
楊埴,永謀
楊執一,太初
楊培,伯深,心畬,心畲
楊培元,蔭堂,薩堂,陰堂
楊培年,心田
楊基,孟載,眉庵
楊堅,文帝,文皇帝,那羅延,高祖
楊堯佐,協堂
楊塏,爽泉
楊塤,景和
楊塽,允昭
楊墉,亦垣,勤甫
楊增新,子周,靜生,鼎臣
楊增犖,延真,昀谷,滋陽山人
楊增瑛,湄村,英玉
楊增輝,寅谷,璨園
楊壐,輯五
楊士(仕)訓,尹叔,楊仕訓,盤菴
楊士倧,原父
楊士元,仁甫
楊士凝,立誠
楊士奇,僑仲,文貞,東楊,東里先生,楊寄,楊寓,楊遇,羅寓,西楊,西陽先生
楊士弘,伯謙
楊士彥,完邱,應聘,海客,滄海,蓬萊
楊士徽,若游
楊士惇,崇樸
楊士文,冠三,吉園
楊士昌,汝茂
楊士晟,曙新,蔚霞,藕船
楊士欽,魯丞
楊士漢,子泉
楊士炌,楊世炌
楊士燮,味春,味純,蔚春
楊士琦,杏丞,杏城
楊士真,弘諒
楊士端,子方
楊士聰,朝徹,胡徵,鳧岫
楊士芳,蕓堂,蘭如
楊士衡,季平,暎霞亭,漁隱
楊士訓,尹叔
楊士達,崇福
楊士選,有貞
楊士鉊,俞皋,槐亭
楊士雲,弘山,從龍
楊士驤,文敬,萍石,蓮府,蓮甫,超甫
楊士龍,明夫
楊壯行,伯學
楊壽,德邵
楊壽孫,受祉,鹿岑
楊壽寶,夢園主人,鶴卿
楊壽彤,惠皆
楊壽慈,伯畬
楊壽杓,少雲,楚孫,蘅意
楊壽枬,味雲
楊壽楠,味雲,苓泉居士
楊壽榛,浣芬
楊夑,芝泉
楊夔生,伯夔,浣薌
楊夢信,材翁
楊夢惠,彦仁
楊夢斗,仰福,山父,第八
楊夢松,公兆,聽庵
楊夢符,六士,西岑,西躔
楊夢陶,忠靖校尉
楊夢魁,岳孫,應壬,成父,第百百
楊夢龍,雲徵
楊夢龜,壽明,壽朋
楊大光,仲約
楊大全,壽哥,第八十一,行甫,道夫
楊大受,受之
楊大堉,雅輪
楊大容,心如,惺予,莘畬
楊大建,石峯
楊大承,亮元,季子
楊大明,明瞻,至樂子
楊大本,景和
楊大法,元範
楊大淵,肅翼
楊大琛,寶研,謙山退士
楊大異,同伯,愚齋
楊大章,章之
楊大臨,治卿
楊大芳,一樵
楊大進,翰序
楊大鑅,琴香
楊大雅,子正,楊侃
楊大鶴,大鵾,芝田
楊大鼇,用極
楊天倪,致一
楊天孫,雲錦
楊天德,君美
楊天惠,佑父,回光
楊天文,九皋,就皋
楊天柱,楊銘柱
楊天植,篤材
楊天民,正甫
楊天澤,守愚子,履齋
楊天瓊,瑤甫
楊天眷,一齋
楊天祥,興寰
楊天縱,景聖
楊天芳,叔芳
楊天霖,雨生
楊太冲,不盈
楊太榮,崇仁
楊奇,松坡,秀夫
楊奇璇,伯衡
楊奇遇,傳三,巽望,椿壽,第二
楊奉春,世元
楊奎,陳昌世
楊奎生,仲翰
楊奐,文憲,煥然,紫陽
楊奕紳,警菴
楊奭,芾林
楊好生,樹滋,錦堂
楊如山,少游
楊如浩,菊裳
楊如溥,少南
楊如瑶,西望
楊如蘭,畹春
楊妙真,四娘子
楊威,震亨
楊婉如,漢卿
楊婉素,叔卿
楊媛,叔姬
楊子器,十七,名父,柳塘
楊子實,中孚
楊子文,明熙
楊子楚,葵芹
楊子祥,吉甫
楊子禎,楊子稹
楊子臣,維人
楊子謨,伯昌,浩齋
楊子麟,琴如
楊存,存之,正叟
楊存中,楊沂中,正甫,武恭
楊存理,天根,性夫
楊孝寬,墨池,墨痴,裕安
楊孝誠,曉芸
楊孝騏,楊孝彪
楊孟瑛,温甫,溫甫
楊孟芳,景春
楊季鸞,紫卿
楊學,文斅,文斆
楊學敏,希文,時卿
楊學文,必節,竹澗
楊學易,琴最,羲承
楊學李,希聖,明齋
楊學沂,綬卿
楊學泗,魯嶧
楊學禮,立夫
楊宇,子麻
楊守一,楊守泰,象先
楊守仁,嘉復
楊守儉,姒音
楊守勤,克之,昆阜
楊守愚,子發
楊守敬,惺吾,晦明軒,望古堂,望堂,激素,觀海堂,鄰蘇,鄰蘇園,鄰蘇老人,飛青閣
楊守珍,仲寶
楊守知,晚研,次也,致軒
楊守禮,南澗,秉節
楊守範,陳守範,靜閑
楊守約,巨峯
楊守范,靜閑
楊守謙,允亨,恪愍,次村
楊守閑,禮持
楊守阯,惟立,碧川,維立
楊守陳,十一,文懿,維新,鏡川,鏡川先生
楊守隅,維德,默菴
楊守隨,康簡,惟貞,文湖,納貞,維禎,維貞,貞菴
楊守魯,允得
楊安,勉之
楊安國,君倚
楊安誠,道父
楊完,德金
楊完澤,孝先
楊完者,彥英,忠愍
楊宏,容堂,希仁
楊宏中,充甫
楊宏備,無我
楊宏器,左法
楊宏科,意白,融博
楊宏道,叔能
楊宗仁,天爵,淸端
楊宗伯,禮卿
楊宗堯,從道
楊宗惠,敦夫,楊忠惠
楊宗敏,楊地仙
楊宗旦,次周
楊宗昌,永庵
楊宗本,宗本
楊宗武,燮周
楊宗氣,子正,活水
楊宗海,伯融
楊宗濂,潛齋,潛齋主人,聊自娛齋,藝芳
楊宗濟,作舟,用舟
楊宗瑞,廷鎮
楊宗禮,敬軒
楊宗稷,九嶷山人,時百
楊宗訓,源淸
楊宗閔,忠介,景賢,魏國公
楊宗震,仲起
楊定,應之
楊定國,淸宇
楊宛,宛叔
楊宜,彥理
楊宜三,雨田
楊宜中,行可
楊宜崙,賓國
楊宜治,虞裳
楊宜芬,宜芬公主
楊宣,浚明
楊宣之,存齋
楊家源,鞠孫
楊家相,君卿
楊家驥,德孫
楊家龍,惕若
楊宸,起肅,起蕭
楊宻,景稠
楊寅,敬伯
楊寅生,統人
楊寅秋,羲叔,臨皋
楊寓,楊遇
楊寔,南里,誠之
楊寘,審賢
楊察,宣懿,隱甫
楊寧,彥謐
楊寶武,雅亭
楊寶臣,湘蕓,鐵臣
楊寶賢,慎齋
楊寶鏞,序東,篴盦
楊導,叔簡
楊尚煐,芝雲
楊尤奇,如西
楊居,溫如
楊居實,貞一
楊居寬,子裕
楊居簡,子敬,正惠
楊居義,子宜
楊屋,子載,恥夫
楊履垣,吉軒
楊履基,履德,惕齋,鐵齋
楊履晉,康侯
楊履正,子順
楊履泰,子安,耕心老人
楊山,伯鎮
楊山龍,云骧,公保,第百一,雲驤
楊屾,雙山
楊岦,維嶽
楊岳,雲蓋
楊岳斌,勇愨,厚庵,厚菴,問竹軒,楊載福
楊岳東,愚山,曉岩,鳳泉
楊峒,書岩
楊峴,庸齋,見山
楊峻,惟高,維高
楊崇,尚賢
楊崇伊,正南,莘伯
楊崇勳,寶臣,恭毅
楊崇康,壽山,遐齡
楊崈,景山
楊崙,昆濤,星源
楊嵎谷,麗中
楊巍,伯謙,夢山
楊州儒,汝為
楊州彥,倩公,宣樓
楊巨卿,信甫
楊巨源,景山,楊十二
楊巨鯨,文瀾,霽嶼
楊巽申,剛中,熟齋
楊布銓,硯芬,視芬
楊布震,慎知
楊希彪,子麟
楊希曾,東軒,申一,魯公
楊希淳,道南
楊希賢,敬仁
楊希鈺,研培
楊希銓,仲衡,研芬,硯芬,菘畦
楊希閔,臥雲,鐵鏞
楊師孔,冷然,願之
楊師孟,小樓
楊師道,景猷
楊師震,子畏
楊常,叔倫
楊幹,之才
楊幼度,叔憲
楊庚,星山,星珊
楊度,九九,學佛,帝制餘孽,楊周公,楊承瓚,湘潭楊氏,皙子,虎公,虎禪,虎禪師,虎頭陀,釋虎
楊度汪,勖齋,若千
楊庭傑,子厚,文安
楊庭堅,公實,吉老,慶郎,第祖大
楊庭碩,伯寬,雪堂
楊庭芳,孟仁
楊庭顯,時發
楊庶堪,滄白,邠齋
楊康,君表
楊庸,子忠,潛齋
楊廉,文恪,方震,月湖,月湖先生,畏軒
楊廣欽,敬符,窗軒
楊廣（隋煬帝）,世祖,明皇帝,煬帝,阿摩
楊延亮,昭節,月塘樵隱,菊泉
楊延俊,吁尊,菊仙,菊先
楊延年,玉暉
楊延慶,雲章
楊延昭,楊延郎
楊廷俊,秀升
楊廷傳,心貺,惺遠,星舫,鑾卿
楊廷儀,正夫
楊廷勳,廕堂,蔭堂,陰堂
楊廷和,介夫,文忠,石齋
楊廷宥,彥寬
楊廷寵,一亭,一齋
楊廷愛,思所
楊廷撰,述臣
楊廷望,兢如
楊廷棟,四輔
楊廷榕,翼南,蓼園
楊廷榜,含山,金山
楊廷樞,復庵,忠節,維斗
楊廷理,半緣,更生,淸和
楊廷琮,杏村
楊廷瑛,華亭
楊廷璋,勤愨,奉峨,奉莪,玉亭
楊廷璧,君璋
楊廷璵,春航
楊廷相,爕甫
楊廷筠,仲堅,安福,庭筠,彌格,泌園居士,淇園,鄭圃居士
楊廷耀,彤華
楊廷蘭,秀夫,芳臺
楊廷貴,汝弼
楊廷選,仲青,楊廷勷
楊廷鉁,香泉
楊廷錦,闇齋
楊廷錫,謹堂
楊廷騭,菊人
楊廷麟,文正
楊建,立三,竹坡
楊建廷,玉軒
楊建昭,澗泉,鑒泉
楊式榖,似之,稼生,貽堂
楊式穀,詒堂
楊引傳,薪圃,醒逋
楊引祚,湄崧
楊弘,河間王
楊弘慶,弘慶
楊弘綱,敦大
楊弘道,叔能,文節,素庵
楊彛,宗敘
楊彜,宗彜,萬松老人,銀塘生
楊彜珍,季涵,性農
楊彝,好德
楊彝珍,性農,湘涵
楊彥,邦傑
楊彬,文質
楊彭齡,商賢
楊得善,勵齋
楊得春,東卿
楊得質,文泉
楊從,存道
楊從禹,敷九
楊從義,子和
楊從龍,學海
楊復,楊名高
楊復吉,列歐,慧樓
楊復義,子宜,西淸隱士
楊復謙,祇園
楊循吉,南峰,君謙
楊徵,元卿
楊德,務本
楊德中,順英
楊德亨,仲乾
楊德容,西村
楊德峻,梁岡,洪岡,淇岡
楊德崇,康懿
楊德政,公亮,叔向
楊德春,子明,峻亭,曉嵐
楊德桂,坤載
楊德榮,燕京閭
楊德浩,松溪,百行
楊德澤,信菴,濟忠
楊德祿,悔軒,景綏
楊德誠,和卿
楊德貞,慧端
楊德鄰,德鄰,德麟
楊德鑅,仲琪,耀珊
楊德馨,維卿,芷亭
楊徹,朝如
楊徽,舜美
楊徽之,仲猷,文莊
楊心鎔,序東,慶車
楊必大,伯起
楊必謙,子益
楊必進,南樓,抑之
楊志,石甫
楊志伊,莘耕
楊志信,蘭如,行可
楊志學,五華,康惠,遜夫
楊志洵,景蘇,澹溪
楊志溫,幼梅
楊志濂,希逸,筱荔,評蓮
楊志道,聖階
楊志遠,西印
楊志隱,空靜
楊志體,具卿
楊忞,心傳
楊忠,本臣
楊忠華,靜庭
楊忱,明叔
楊忱中,德夫
楊念劬,庸齋,蔚齋
楊念惕,和盛,若臣
楊念祖,聿修
楊忻,存樸,質庵
楊思勗,祐之
楊思忠,南泉,孝夫
楊思敬,存之,惕庵
楊思玄,處寂
楊思立,立之
楊思義,次崖,肯堂,蜀亭
楊思聖,猶龍,雪樵
楊性,小鐵,秉中
楊性魯,誠宇
楊恂,以純,伯純
楊恆,本初,白鹿生
楊恆燦,杜若,蒼舒
楊恆福,月如,玉銘,雲岫退叟
楊恕,勉仁
楊恢,伯洪
楊恢元,大文
楊恩壽,蓬海,蓬道人,鶴儔
楊恩樹,汝桐,鳳岡
楊恩浦,庶民,篤臣,蔗民
楊恪,叔謹,磬齋
楊恪曾,雨梧
楊恭,秉虔
楊恭懿,元甫,文康,潛齋
楊惇,載夫
楊惇禮,穆仲
楊惟中,彥誠,忠肅
楊惟休,叔度
楊惟喬,幼植
楊惟寅,恭叔
楊惟平,君正
楊惟康,南陸,叔安
楊惟治,同野
楊惟相,無技
楊惟粹,龍洲
楊惟肖,與似
楊惠,子宣
楊惠元,心淮
楊惠心,孚仲
楊惪,心得
楊惺惺,柳枝
楊愈,希賢
楊愈茂,伯榮
楊愚,北峰,大智
楊愷,煦南
楊愿,原仲
楊慈德,竹溪
楊慎,升菴,文憲,新都,用修
楊慎交,楊昚交
楊慎言,中默,語可
楊慕侃,亦陶,子訚,甓庼
楊慧,定生
楊慧林,林下風,雲友
楊慶,郇王
楊慶之,笏山,雲五
楊慶恩,仁安
楊慶源,宗善
楊慶琛,廷元,絳雪老人,際春,雪椒,雪茉
楊慶琮,雲椒
楊慶麟,振甫,敬士,瓶麓齋
楊憑,嗣仁,楊十,虛受
楊憲,月菴
楊憲曾,愧長
楊應中,子貞
楊應元,伯仁
楊應奇,時望,西泉
楊應奎,文煥
楊應宿,宗辰
楊應文,子修,鳳麓
楊應時,澹所,際甫
楊應東,子仁
楊應標,勝材,南城
楊應琚,佩之,松門,秋水
楊應登,幼平,幼年
楊應聘,志尹
楊應藻,仲素
楊應詔,天遊山人,邦彥
楊應詢,仲謀,康理
楊應辰,大遇,惠高,真惠,第萬一
楊應霆,文轟
楊懋,克勤
楊懋建,掌生,爾園,蕊珠舊史
楊懋恬,和甫,雪颿
楊懋珩,桐石,稹甫
楊懋經,九有
楊懌,悅甫,用懌,第三十八
楊懌䥸,挹峯,挹峰
楊懌曾,介坪,咸甫,成夫
楊懌銓,曉香
楊懌鑾,超峯
楊懷震,旦齋,西卿
楊懿孺,彝父
楊成,全卿,水田
楊成名,志完
楊成域,濟山
楊成材,超用
楊所修,修白
楊扶,圖南
楊承信,守真,楊信
楊承愻,名雲,竹雲
楊承澤,輔山
楊承照,杏農
楊承祖,大宗
楊承福,名遠
楊承禧,懥庵居士,致存
楊承閔,子孝
楊承鯤,伯翼
楊振,楊文振
楊振鴻,秋帆,誌復
楊振鵬,瘦竹
楊挺高,叔謙,維齋
楊捷,元凯,敏壯
楊捷三,少泉,少石,敏文
楊掀,潛叔
楊掄,方叔,蓮趺
楊掞,純父,純甫
楊揆,同叔,桐華吟館,桐華館,瓔珞香龕,荔裳
楊揆龍,誠之
楊損,楊僕射,楊勛
楊損之,益之
楊搢,永叔,蘊山
楊摛藻,樸庵,錦園
楊撫,二十三,安世
楊操,履貞
楊收,成之(藏之),藏之
楊政,以仁
楊敏,依仁,桃湯
楊敏中,俊之
楊教化,襄敏
楊敞,尙文
楊敦仁,仲遠
楊敩,學山,念齋
楊敬之,楊八,茂孝
楊敬修,景堂
楊敬惪,仲禮
楊敬直,忠肅
楊敬秩,敘五,西村
楊敬遠,子嘉,芝槎
楊敷,楊溥,震卿
楊文,貫道
楊文之,簡堂
楊文乾,元統,霖宰
楊文仲,時發,見山
楊文修,中理,楊佛子,楊修
楊文光,誠甫
楊文卿,質夫
楊文和,芝農
楊文安,泰叔
楊文岳,京宜,斗望
楊文廣,仲容
楊文彩,一水,治文
楊文志,思武,思道
楊文揚,藻壇
楊文擧,宜菴,楊文舉,直卿
楊文明,仲謨
楊文春,叔平,啟發,繡軒
楊文會,仁山
楊文正,天柱
楊文濤,榆園
楊文煒,彤臣
楊文煥,太素
楊文照,劍潭,得天,芋庵
楊文熙,乾庵,敬亭
楊文燦,谷士
楊文瑩,雪漁
楊文紀,溫範
楊文舉,松亭
楊文蓀,秀實,蕓士
楊文蔚,夑卿,煥卿
楊文薦,又如,幼宇,忠節
楊文蘭,佛奴,香九
楊文詡,巨卿
楊文逸,慕賢
楊文郁,從周,損齋,文安
楊文鍇,循園,鬯孫
楊文震,明叟
楊文驄,一山,子山,洵美堂,阿龍,龍友
楊文鼎,俊卿,晉卿
楊斌,兼子
楊新甲,振華,艾山,西園
楊方,子直,淡軒老叟
楊方春,宏發
楊方立,中甫,念中,白存,默堂,默齋
楊方興,浡然
楊方達,扶蒼,符蒼
楊於果,審岩,碩亭
楊於陵,楊三,貞孝,達夫
楊旂,汝章
楊无咎,補之
楊日休,垂美
楊日嚴,垂訓
楊日宣,垂裕
楊日昇,旭孟,白石
楊日言,莊簡,詢直
楊日都,慶堂,賡堂
楊旦,明甫
楊旬瑛,似公
楊昂,夏卿,新哥,漢卿,第五
楊昇,孟潛
楊昉,彥明
楊昌,竹唐
楊昌宇,蓮汀,青士
楊昌江,劭柏,柱石
楊昌泗,剛介,濂泉
楊昌濟,懷中,華生,闆倉老人
楊昌濬,石泉
楊明,士昂,士昻,楊青
楊明復,復翁
楊明德,朗軒,釋經
楊明時,不棄
楊明月,依依
楊明琅,質人
楊明瑞,庭輯,延楫,廷楫,廷輯
楊明輝,清叔
楊昕,希黯
楊星階,星卿,景卿
楊映奎,星臣,聚五
楊昤,厄仲,旭仲
楊春,元之,留耕
楊春池,夢連,秋苑
楊春芳,四知
楊春茂,奎東
楊春陽,鏡川
楊春階,地橋,旭嶠
楊昭,世宗,孝成皇帝
楊昭儉,仲寶
楊昭華,韻侯
楊昭述,宗魯,景魯
楊是甫,德師
楊昹,永明
楊昺,文昭
楊時,中立,文靖,行可,龜山先生
楊時中,庸齋
楊時儼,士衡
楊時化,季雨,沁湄,蘋閣
楊時喬,六十一,宐遷,宜遷,楊時寧,止庵,止菴,端潔
楊時寧,子安,小林
楊時暢,知休
楊時泰,道亨
楊時煦,庸齋,春卿
楊時秀,叔茂
楊時薦,賢甫
楊時雍,宇安,鷺洲
楊晅,以貞
楊晉,子馬
楊晉藩,蕉隱
楊晙,冬可
楊晞,元暉
楊晟,泰峯
楊晨,定叟,定夫,定旉,定甫,崇雅堂,蓉初
楊景,如晦
楊景仁,育之,靜岩,靜間
楊景商,子起
楊景孟,嶧亭,浩軒,端甫
楊景宗,正臣,莊定
楊景廉,東材,東村
楊景思,成巳
楊景文,竹泉
楊景昌,鍾田
楊景淳,敦初
楊景煌,適庵
楊景猷,荻慶,載賡
楊景略,康功
楊景程,宗洛,雪門
楊景章,季含
楊景素,木業園,樸園
楊景芬,祖德
楊景行,賢可
楊景辰,載甫
楊景隆,伯淳
楊智,思明
楊智積,仲謀
楊暄,杏園,烈愍
楊暈,公明
楊暉,景陽
楊暟,好善
楊暢,海門
楊暹,景言,景賢,汝齋
楊曉春,惺齋,泰初
楊曉盷,春野
楊曜,景明
楊曰鯤,滄石
楊書最,恭庵,恭菴
楊書蕙,紉仙
楊書蘭,畹香
楊書詹,允臣,贊堂
楊書鞭,策軒
楊書香,芸坪
楊曾,景參
楊最,忠節,果齋,殿之
楊有仁,以義
楊有恆,北樵
楊有慶,履旋
楊有成,用之
楊有涵,能蓄,養齋
楊有源,筠峯
楊服彩,平齋,拾紫
楊朏,持正
楊朝位,要蓮
楊朝南,時輔
楊朝攦,華亭
楊朝棟,曹文龍
楊朝英,澹齋
楊朝藩,奕韓,滌山
楊朝鐸,和齋
楊朝鳳,應時
楊朝麟,堯藪
楊本仁,次山
楊本初,芝舫
楊本峻,蓮峯
楊本明,九峰樵隱
楊本深,季淵,西村
楊本然,舜擧,舜舉,龍溪
楊朴,文之
楊朶兒只,襄愍
楊材,楚良
楊杞,元卿,鱣堂
楊東,啓明
楊東明,啟修,啟昧,子旭,惜陰居士,晉安,晉庵,起修
楊東野,啟明
楊杲,孟暉
楊松,壽夫
楊松年,崑林
楊林盛,春浦,春溥,蒼浦
楊果,實夫
楊枝遠,季重
楊柄鋥,切齋,春樵,楊炳鋥,用庚
楊柏,允節,古崖
楊某,保救
楊某哲,茂道
楊柟,仲木
楊栻,雲黼
楊桂芳,小岩,馨源
楊桂蔭,肯堂
楊桐,時卿
楊桓,子威
楊梁,廷材
楊梅卿,子和
楊梓,康惠
楊棐,賓周
楊棟,元極,平舟
楊棨,大拯
楊森,偉臣
楊棲鶚,木於
楊棻,德順,酅公
楊椅翁,安叔
楊植,爾立
楊椿,農先
楊椿年,又元
楊楙瑔,雪樵
楊楚枝,雲根,雲極
楊楧,國材
楊楫,允通
楊業,繼業
楊極,楊拯,齊物
楊概,孔平
楊榕林,欣如
楊榦,之才
楊榮,毅軒
楊榮宇,耀堂
楊榮第,蔭軒
楊榮緒,黼香
楊榮緖,孟桐,楊榮,浦香,黼香
楊榮陞,級堂
楊榮隰,材美,竹友
楊構,雲工
楊槮,子喬,石川
楊樂閔,訚如
楊樊龍,伯霞
楊樗年,茂良
楊標,朱標
楊樞,愼齋,運卿
楊模,範甫
楊樸,克淳
楊樹,松窗,求心得齋,澡雪堂,珍林
楊樹基,瀛濱,裕光
楊樹本,蔭軒,薩軒
楊樹棠,荷舫
楊樹琪,瑤圃
楊檟,毓奇
楊權,用中
楊次山,仲甫
楊次鄭,仲富
楊欽,敬之
楊欽琦,亦韓,葉航,魏卿
楊正中,爾茂
楊正祥,吉臣
楊正經,懷玉
楊正苾,惺弦
楊正觀,小瀛,曉寅,覲臣
楊武,宗文
楊武仲,子臧
楊武烈,澹中
楊歸儒,季中
楊殿奎,叔賡,夙根
楊殿梓,琴齋,雨崖
楊殿邦,壘雲,疊雲,翰屏,翰平,菜香小圃館,鶴平
楊毅成,竹泉
楊毓健,乾齋,力人
楊毓泗,子泉,潤東
楊毓良,心壺
楊毓藻,翰華
楊毓蘭,東始
楊毓貞,韞秀
楊毓麟,篤生,衋庵
楊氏,越溪楊女
楊氏(孫陞妻),楊文儷
楊氏(楊元嗣女),永樂公主
楊氏(趙恆妃),章惠
楊氏（元獻皇后）,元獻皇后
楊永傑,卓菴
楊永寧,地一
楊永斌,壽廷,陸山
楊永祜,元錫
楊永節,公操
楊永衍,椒坪,蕃昌
楊永言,岑立
楊永詳,盛如
楊永道,履坦
楊汝偕,仁皆,同士,小泉
楊汝允,十三,惟明,懋功
楊汝南,彥侯,快然居士
楊汝士,慕巢,楊六
楊汝文,蘭堂,黼堂
楊汝明,叔禹
楊汝榖,令詒,令詔,令誥,令貽,勤恪,石湖,靜用齋
楊汝樟,巨卿
楊汝濱,覲文
楊汝穀,令詒,令貽
楊汝立,惟誠
楊汝經,石夫
楊汝輔,惟德
楊汝鏊,奐周,詠花
楊汪中,季子
楊汲,淸父
楊沂,子興
楊沂孫,子與,濠叟,觀濠居士,詠春
楊沐,子新
楊沔,東之
楊沖,飛卿
楊治寧,階平
楊泗孫,濱石
楊泗洪,錫九
楊泮,十四,文淵
楊泰,天寵
楊泰之,克齋,叔正
楊泰亨,理菴
楊泰來,小田
楊泰起,秋圃
楊泳春,汝欽,舒和
楊津,汝問
楊洪,宗道,昌平侯,楊王,武襄,頴國公
楊洪勛,崧屏,蓮峰
楊洪士,東瀛
楊洪才,拙生
楊洵,崑源
楊浚,子元
楊浣雨,楊沅雨
楊浩,春濤
楊浩然,秀山
楊海,事齋,汝容
楊涓,碧秋
楊涘好,婉琴
楊涵,映千,月峰
楊淑修,敬庵,曉材
楊淑媛,幼荃
楊淑貞,端一
楊淞,公謹
楊淮,東川,果齋
楊深秀,一邨,儀村,孴子,孴孴子,楊毓秀,漪春,漪村,漪莼,漪邨,甓居山房,雪虛聲堂
楊淳,淳夫
楊清,汝正
楊清一,元潔,逸峯
楊清材,琴珊
楊清澤,銳泉,鏡泉
楊清魁,冠瀛,鑒潭
楊渙,德濟
楊渤,啔隆
楊渭起,少望
楊游,季常
楊渼好,婉琴
楊渼皋,婉蕙
楊湄,伊溪,文在
楊湜,彥淸
楊湝,滙南
楊湯,仵朗
楊源,忠懷,本淸,貴潔
楊源懋,勉齋
楊準,汝正
楊溢,宗謙
楊溥,利川
楊溫,恭仁
楊溶,硯農,遹甫
楊滉,孔明
楊滋,天澤
楊漌,楊瑾
楊漢公,楊九,用乂
楊漢皋,婉惠
楊漢章,雲坡
楊漢英,中齋,忠宣,熙載
楊漣,大洪,天孺,忠烈,文孺
楊漵,武溪
楊潤,伯玉
楊潤富,濟生
楊潤身,雨亭
楊潭,映千
楊潮觀,宏度,笠湖
楊澂,元卿
