# CathayViewer 人名别名表（正名,别名…；可手动编辑，逗号/顿号/分号均可分隔）
丁敬,丁居士,勝怠老人,孤石山房,孤雲石叟,帶江堂,敬叟,敬老人,敬身,梅農,無不敬齊,無所住庵,玉几翁,玩茶叟,研林,研林勝怠老人,研林漫叟,硯林,硯林外史,苔花老屋,身翁,鈍丁,鈍老,龍泓,龍泓山人,龍泓山館,龍紅居士
丁敬書,榕江
丁文振,酉謙,酉韓,配韓
丁文暹,竹坡
丁文江,在君
丁文浚,心泉
丁文炳,松嚴,松崖,松巖
丁文煜,印唐,藜軒
丁文策,叔范,固庵
丁文蔚,大碧詞人,約卿,藍叔,蘭叔,豹卿,豹興,韻琴
丁文衡,乃淸,公銓,茜園
丁文釗,麗生
丁文鸞,鳴和
丁斌,子存,義門
丁日健,述安
丁日升,曉岑
丁日昌,得恩堂,持靜,持靜齋,淸節堂,百蘭山館,禹生,蕉雨書屋,雨生,雨笙
丁旦,惟寅,海陽
丁昌期,經行先生
丁昌穀,嶲人,雋人
丁明,丁騫,博雅先生,子公,希閔
丁易,雙丸
丁易東,漢臣,用和,石壇
丁春林,鴻橋
丁昶,德輝
丁時,與偕
丁時敏,時敏
丁時發,子章
丁時翰,君翊,愚潭
丁時述,寓隱,汝癡
丁晏,丁宴,儉卿,六藝堂,柘唐,柘堂
丁晞顏,丁希顏,令子
丁普郎,武節,濟陽郡公
丁景林,松階
丁景森,松階
丁暐,桐雲
丁曰健,治臺,知止知足園,述安
丁有煜,個堂,幻壺,麗中
丁朝慶,星垣
丁朝雄,伯宜,維邦
丁木,子植,松山,松山先生
丁本,弘道
丁松,喬山
丁某,時雍
丁柔克,燮甫
丁柷,汝和
丁桂,子香,景顏
丁桐,喈庭,孝繼,學陽
丁楚望,京山
丁榮,宗仁
丁榮祚,蔚岡
丁榮表,樹之
丁榮褧,鑑湖
丁槐,蘅山,虎文,衡三
丁樹棠,治棠
丁權,子卿
丁正中,上卿,素園
丁此召,棠野
丁此呂,右武
丁毓瑛,韞如
丁毓藻,翰泉
丁氏(孫有親妻),月嬙
丁永成,子觀
丁永祚,爾錫,見白
丁汝夔,大章,太章
丁汝昌,禹廷,雨亭
丁汝楷,魯瞻
丁汝蘷,大章
丁汝謙,受齋,子益
丁沂,宗魯
丁注,葆光
丁泰,來公
丁泰亨,巖老
丁泰運,孟尚,忠烈,谷山
丁洪,季學
丁洪疇,禹人
丁浚,湘皋
丁浩,子然,松亭,養吾
丁淑媛,瑤真
丁清,子澄,澹人
丁渙,文伯,濟卿
丁湘,花濃
丁湛,十九,子一,孤山
丁溥,原敬
丁溶,二秋亭,淇泉,秋水
丁潁璞,丁穎璞
丁澎,葯園,藥園,飛濤
丁澤,于澤
丁濟,虛舟
丁瀚,西園,默甫
丁瀠,素涵
丁灝,勖庵
丁焰,君晦,晩軒
丁焴,晦叔
丁煒,問山,澹汝,瞻汝,雁水
丁煥,檜山,用晦
丁照,甌民,藜生
丁熙,守載,桂裳
丁熿,季晦,忠簡,遊軒
丁燮,春圃
丁燾,曙天,雙湖
丁爾俊,堯門
丁爾臧,安珊
丁玉,丁國珍,丁國璽,國珍,國璽
丁玉亨,嘉中,恭安,月峰
丁玉含,蘊卿
丁玉太,和卿
丁玉如,連璧
丁玉藻,採之,西神山人
丁玉蟾,夢仙
丁玘,文珩
丁珉,汝琳,滄洲
丁珝,羽玉,覺民
丁珮,大用
丁琛,子瑜
丁琨,東垣
丁琮,瑤宗,石渠
丁琰,崑圃
丁琳,文善
丁瑜,靜嫻
丁瑞珍,玉五
丁瑤真,淑媛
丁瑮,于瑮
丁璉,玉甫
丁璐,元美
丁璣,玉大,玉夫,補齋
丁璿,大器
丁瓘,希章
丁瓚,敬夫
丁甡,鹿友
丁田樹,芷谿,鏡山,雙桂堂
丁申,禮林,竹舟
丁畹芬,靜蘭
丁白,素絲
丁百川,學海,容溪
丁皁保,鶴亭
丁益金,僲舟
丁盛世,子逢
丁石,菊山逸民,貫道,贯道
丁祖蔭,一行,初我,芝孫
丁福保,梅軒,疇隱居士,詁林精舍,仲祐
丁福申,幼棠,錫丞
丁秀儀,佩瑜
丁秉乾,健堂,竹軒
丁秉彝,訓初
丁稜,子威
丁積,三江漁樵,彥誠
丁立中,和甫,宜堂,禾廬
丁立寅,謙如
丁立幹,桐生,種竹軒,質夫
丁立本,道甫
丁立瀛,麗生
丁立誠,修甫,慕淸,辛老
丁立鈞,叔衡
丁端淑,映然子,玉映
丁端祖,夢閒
丁端袓,夢閑
丁符九,德芝
丁策,嘉猷
丁筠,念慈,竹君,翠寒
丁節,曉園
丁範,師則
丁純,縞仙
丁素娟,丁愫心,仲蘭
丁素心,丁愫
丁紳,大章
丁紹儀,原份,杏舲,杏齡,聽秋山館
丁紹周,亦溪,召南,浮玉山房,濂甫
丁紹德,懋齋,稼軒
丁紹憲,琴士
丁紹美,西文
丁紹軾,文遠
丁經,彝之
丁綬,冠卿,紫珮
丁維,峻防,芷軒
丁維南,良正
丁繁培,溉餘,霽堂
丁繼嗣,十三,國雲,禹門
丁繼祖,念亭
丁美,文彥
丁翥,丹園,金冶
丁耀亢,木雞道人,西生,野鶴
丁耀南,心臣
丁聖時,翼聖
丁肇聖,丁聖肇
丁胤禧,景錫,順庵,顧庵
丁自申,希鄴,明岳,朋嶽,槐江
丁自蘭,清遙
丁至,君益,第萬三,詔老,謙垕
丁致祥,原德,近齋
丁良佐,子循,少堂
丁良嗣,懷甫
丁良翰,佑臣,又陳,竺生
丁芭詒,心翼
丁芳,蓉舫,蘭村
丁芳洲,仲魚,步青
丁芳菼,愛慶
丁芳蘭,均國,春畹
丁芸,墨農,耕彥
丁芸芳,六石,自耕
丁莊,蒞堂,蝶身
丁菁,莪池
丁萬春,同甫
丁蓉綬,竺雲
丁蕙,次蘭,澹園
丁蘊琛,月娟
丁衍璈,少畹
丁袍,天袞
丁袗,德祥
丁觀堂,慎之,拱宸
丁觀夏,又兼
丁誠,子成
丁謂,公言,謂之
丁謙,直翁
丁象震,叔起,春農
丁象鼎,實庵
丁賓,丁賔,改亭,淸惠,禮原,豐原
丁超,朗峯
丁輔,允正
丁辰,麗生
丁述曾,少樵,纘臣
丁逄,端叔
丁逢,端叔
丁逢辰,適之
丁進,印趨
丁遊,國賓,澹齋
丁道昌,立生
丁道蘅,湘雲,香芸
丁遜之,竹樵,謙文
丁邁,子德,德孫,第二十七
丁醕,伯厚
丁里,丁守廉,守廉,殖禮
丁野雲,丁野堂
丁鈺,香溪
丁鉉,用濟,襄愍
丁銳義,伯冕,篁村
丁錟,仲熊,瓮天
丁錦宗,鶴生
丁錦濤,文江,月波
丁錫和,小預
丁錫奎,聚五,虎臣,黼臣
丁錫祜,秩生,蓮舫
丁錫福,味薑,曏卿
丁錫鴻,徐材,徐村
丁鍊,質純
丁鎡,永時
丁鏞,鳳儀
丁鑛,九貢
丁長勝,剛介
丁開,復見
丁開璋,小川
丁陞煥,瑞文
丁隆,時雍
丁隲,公點
丁雄飛,菡生
丁雲祥,秋河
丁雲翰,曉宸,霽園
丁雲路,甫南
丁雲錦,琴泉
丁雲鵬,南羽,聖華,聖華居士
丁靄,和叔
丁靜蘭,畹芬
丁韶,子韶
丁顯,彥偉
丁養元,七吾,子頤
丁養浩,師孟
丁體常,慎五
丁體成,子美
丁魁楚,平粵伯
丁鳳,應韶
丁鳳年,少行,藹臣
丁鳳皋,九軒
丁鳳翔,和軒
丁鳳翱,九軒
丁鳴玉,漱泉
丁鴻儒,仲韜
丁鴻臣,雁亭
丁鴻陽,衡岳
丁鶴年,永庚
丁鶴起,閔菴
丁鹿壽,蘋野,頌良
丁鹿鳴,秋墅,蘋原
丁麟年,幼石,紱臣
丁黼,延溪,恭愍,文伯
七達色,齊達色
万俟卨,元中,元忠,忠靖
万俟紹之,子紹
万俟詠,詞隱,雅言
三壽,聯齋,蓮齋
三寶奴,榮敏
三寶柱,廷珪
三旦八,山堂
三泰,文恭
三音布,子循,竹軒
上官伯圭,敬和
上官儀,游韶
上官凝,成叔
上官周,文佐,竹莊
上官均,彥衡
上官基,子固
上官婉兒,上官昭容,惠文
上官岊,伯升
上官崇,達卿
上官庸,時伯
上官德輿,上官德與,敬夫
上官徽,洵美
上官必克,師善,復之
上官恢,閎中
上官悟,仲達
上官惇,正平
上官惕,子進
上官愔,仲容,仲雍
上官憕,正之,正平
上官應琪,以實
上官懋本,儀卿,蓉湖
上官拯,公濟
上官損,益之
上官政,中容
上官昂,行之
上官正,常淸
上官涣然,文之
上官涣酉,元之
上官渙然,文之
上官渙酉,元之
上官煜,南村,子木
上官煥酉,元之
上官琦,大受
上官璪,伯潤
上官發,元功
上官章,闇然
上官粹中,德厚
